Date,Open,High,Low,Close,Adj Close,Volume
1/2/2013,1.842,1.86,1.825,1.839,1.839,0
1/3/2013,1.844,1.911,1.835,1.899,1.899,0
1/4/2013,1.952,1.965,1.911,1.915,1.915,0
1/6/2013,null,null,null,null,null,null
1/7/2013,1.904,1.917,1.892,1.903,1.903,0
1/8/2013,1.894,1.894,1.864,1.871,1.871,0
1/9/2013,1.871,1.876,1.846,1.852,1.852,0
1/10/2013,1.889,1.908,1.875,1.894,1.894,0
1/11/2013,1.891,1.93,1.868,1.875,1.875,0
1/13/2013,null,null,null,null,null,null
1/14/2013,1.836,1.864,1.834,1.857,1.857,0
1/15/2013,1.822,1.833,1.811,1.831,1.831,0
1/16/2013,1.836,1.836,1.803,1.824,1.824,0
1/17/2013,1.838,1.891,1.838,1.875,1.875,0
1/18/2013,1.866,1.866,1.835,1.843,1.843,0
1/20/2013,null,null,null,null,null,null
1/22/2013,1.865,1.874,1.829,1.835,1.835,0
1/23/2013,1.842,1.842,1.813,1.833,1.833,0
1/24/2013,1.812,1.87,1.812,1.844,1.844,0
1/25/2013,1.917,1.95,1.904,1.947,1.947,0
1/27/2013,null,null,null,null,null,null
1/28/2013,1.958,2.006,1.958,1.974,1.974,0
1/29/2013,1.961,1.999,1.949,1.988,1.988,0
1/30/2013,2.01,2.037,1.974,2.006,2.006,0
1/31/2013,1.974,2.006,1.971,1.985,1.985,0
2/1/2013,2.01,2.036,1.926,2.01,2.01,0
2/3/2013,null,null,null,null,null,null
2/4/2013,2.003,2.007,1.951,1.973,1.973,0
2/5/2013,2.007,2.02,2,2.016,2.016,0
2/6/2013,1.978,1.996,1.962,1.968,1.968,0
2/7/2013,1.98,1.98,1.937,1.951,1.951,0
2/8/2013,1.939,1.991,1.936,1.954,1.954,0
2/10/2013,null,null,null,null,null,null
2/11/2013,1.966,1.966,1.945,1.946,1.946,0
2/12/2013,1.972,1.986,1.963,1.982,1.982,0
2/13/2013,2.011,2.033,1.999,2.019,2.019,0
2/14/2013,2.035,2.054,1.995,2,2,0
2/15/2013,2,2.037,2,2.007,2.007,0
2/17/2013,null,null,null,null,null,null
2/19/2013,2.007,2.028,1.988,2.026,2.026,0
2/20/2013,2.035,2.052,2.009,2.021,2.021,0
2/21/2013,1.993,1.993,1.957,1.976,1.976,0
2/22/2013,1.981,1.988,1.958,1.967,1.967,0
2/24/2013,null,null,null,null,null,null
2/25/2013,1.979,2.002,1.874,1.895,1.895,0
2/26/2013,1.864,1.895,1.843,1.879,1.879,0
2/27/2013,1.86,1.903,1.843,1.903,1.903,0
2/28/2013,1.876,1.907,1.872,1.888,1.888,0
3/1/2013,1.85,1.869,1.841,1.853,1.853,0
3/3/2013,null,null,null,null,null,null
3/4/2013,1.839,1.879,1.839,1.877,1.877,0
3/5/2013,1.899,1.91,1.886,1.894,1.894,0
